model,Parameter Set,Fold,testAccuracy,testPrecision,testRecall,testF1,testRocauc,testCohenkappascore,trainAccuracy,trainPrecision,trainRecall,trainF1,trainRocauc,trainCohenkappascore
LGBMClassifier,"{'boosting_type': 'gbdt', 'num_leaves': 31, 'learning_rate': 0.001, 'n_estimators': 100, 'max_depth': -1, 'min_child_samples': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'reg_alpha': 0.0, 'reg_lambda': 0.0}",1,0.7346647646219686,0.0,0.0,0.0,0.5,0.0,0.735021398002853,0.0,0.0,0.0,0.5,0.0
LGBMClassifier,"{'boosting_type': 'gbdt', 'num_leaves': 31, 'learning_rate': 0.001, 'n_estimators': 100, 'max_depth': -1, 'min_child_samples': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'reg_alpha': 0.0, 'reg_lambda': 0.0}",2,0.7346647646219686,0.0,0.0,0.0,0.5,0.0,0.7353780313837375,0.0,0.0,0.0,0.5,0.0
LGBMClassifier,"{'boosting_type': 'dart', 'num_leaves': 31, 'learning_rate': 0.001, 'n_estimators': 100, 'max_depth': -1, 'min_child_samples': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'reg_alpha': 0.0, 'reg_lambda': 0.0}",1,0.7346647646219686,0.0,0.0,0.0,0.5,0.0,0.735021398002853,0.0,0.0,0.0,0.5,0.0
LGBMClassifier,"{'boosting_type': 'dart', 'num_leaves': 31, 'learning_rate': 0.001, 'n_estimators': 100, 'max_depth': -1, 'min_child_samples': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'reg_alpha': 0.0, 'reg_lambda': 0.0}",2,0.7346647646219686,0.0,0.0,0.0,0.5,0.0,0.7353780313837375,0.0,0.0,0.0,0.5,0.0
LGBMClassifier,"{'boosting_type': 'goss', 'num_leaves': 31, 'learning_rate': 0.001, 'n_estimators': 100, 'max_depth': -1, 'min_child_samples': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'reg_alpha': 0.0, 'reg_lambda': 0.0}",1,0.7346647646219686,0.0,0.0,0.0,0.5,0.0,0.735021398002853,0.0,0.0,0.0,0.5,0.0
LGBMClassifier,"{'boosting_type': 'goss', 'num_leaves': 31, 'learning_rate': 0.001, 'n_estimators': 100, 'max_depth': -1, 'min_child_samples': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'reg_alpha': 0.0, 'reg_lambda': 0.0}",2,0.7346647646219686,0.0,0.0,0.0,0.5,0.0,0.7353780313837375,0.0,0.0,0.0,0.5,0.0
xgboost,"{'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 450}",1,0.7910128388017118,0.6144927536231884,0.5698924731182796,0.591352859135286,0.7203831297630232,0.45122729956689833,0.7913694721825963,0.6222910216718266,0.5410497981157469,0.5788336933045356,0.7113303333130894,0.441072645495434
xgboost,"{'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 450}",2,0.8031383737517832,0.6538461538461539,0.5483870967741935,0.5964912280701755,0.7217663639210774,0.4676242364206703,0.7992154065620543,0.6648250460405156,0.4865229110512129,0.5618677042801556,0.6991295447593602,0.4356571699850714
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",1,0.8074179743223966,0.67,0.5403225806451613,0.5982142857142856,0.7221030378953962,0.4734777673921753,0.796718972895863,0.6520210896309314,0.4993270524899058,0.5655487804878049,0.7016285917471363,0.4358973272994099
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",2,0.8017118402282454,0.6850393700787402,0.46774193548387094,0.5559105431309904,0.6950360162856248,0.43405026456563023,0.796718972895863,0.6885964912280702,0.42318059299191374,0.5242070116861436,0.6771577067772372,0.40418000005964605
