model,Parameter Set,Fold,testAccuracy,testPrecision,testRecall,testF1,testRocauc,testCohenkappascore
xgboost,"{'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 450}",noCrossVal,0.7988587731811697,0.6380368098159509,0.5591397849462365,0.5959885386819485,0.7222883390750601,0.4628586023813534
xgboost,"{'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 500}",noCrossVal,0.7988587731811697,0.6380368098159509,0.5591397849462365,0.5959885386819485,0.7222883390750601,0.4628586023813534
xgboost,"{'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 1, 'n_estimators': 450}",noCrossVal,0.796718972895863,0.6330275229357798,0.5564516129032258,0.592274678111588,0.7199733792671469,0.4576291892332125
xgboost,"{'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 1, 'n_estimators': 500}",noCrossVal,0.797432239657632,0.6341463414634146,0.5591397849462365,0.5942857142857142,0.7213174652886523,0.4600145381953109
xgboost,"{'learning_rate': 0.01, 'subsample': 1, 'colsample_bytree': 0.8, 'n_estimators': 450}",noCrossVal,0.8038516405135521,0.6529968454258676,0.5564516129032258,0.6008708272859216,0.7248277481991857,0.4719433525536548
xgboost,"{'learning_rate': 0.01, 'subsample': 1, 'colsample_bytree': 0.8, 'n_estimators': 500}",noCrossVal,0.8017118402282454,0.6487341772151899,0.5510752688172043,0.5959302325581395,0.7216541392629711,0.4657012195121951
xgboost,"{'learning_rate': 0.01, 'subsample': 1, 'colsample_bytree': 1, 'n_estimators': 450}",noCrossVal,0.8024251069900142,0.6470588235294118,0.5618279569892473,0.6014388489208633,0.725574172669381,0.4709635760777465
xgboost,"{'learning_rate': 0.01, 'subsample': 1, 'colsample_bytree': 1, 'n_estimators': 500}",noCrossVal,0.8009985734664765,0.6422018348623854,0.5645161290322581,0.6008583690987125,0.7254619480112745,0.4690475220914607
xgboost,"{'learning_rate': 0.02, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 450}",noCrossVal,0.797432239657632,0.6301775147928994,0.5725806451612904,0.6000000000000001,0.7256107109301598,0.4647905498771418
xgboost,"{'learning_rate': 0.02, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 500}",noCrossVal,0.796718972895863,0.6298507462686567,0.5672043010752689,0.596888260254597,0.7234079757803529,0.4614770867981896
