model,Parameter Set,Fold,testAccuracy,testPrecision,testRecall,testF1,testRocauc,testCohenkappascore,trainAccuracy,trainPrecision,trainRecall,trainF1,trainRocauc,trainCohenkappascore
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",1,0.7796005706134094,0.5963302752293578,0.5241935483870968,0.5579399141630901,0.6980191042906357,0.4119558578002199,0.7699714693295292,0.5751533742331288,0.5047106325706595,0.5376344086021505,0.685154928124243,0.385402833036781
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",2,0.7881597717546363,0.6254180602006689,0.5026881720430108,0.5573770491803278,0.6969751539826704,0.4202949799940414,0.7860199714693296,0.625886524822695,0.4757412398921833,0.5405819295558959,0.6867067014203885,0.4044702957259487
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': 'balanced'}",1,0.6718972895863052,0.4349112426035503,0.7903225806451613,0.5610687022900763,0.7097243971186972,0.332624136960445,0.6865192582025678,0.4483282674772036,0.7940780619111709,0.5730937348227294,0.7209109377969246,0.3544247300843928
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': 'balanced'}",2,0.6761768901569187,0.4382530120481928,0.782258064516129,0.5617760617760619,0.710061071093016,0.3359027435792566,0.7050641940085592,0.4663499604117181,0.793800539083558,0.5875311720698254,0.7334667098909545,0.3812496531231722
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': None}",1,0.7796005706134094,0.5963302752293578,0.5241935483870968,0.5579399141630901,0.6980191042906357,0.4119558578002199,0.7699714693295292,0.5751533742331288,0.5047106325706595,0.5376344086021505,0.685154928124243,0.385402833036781
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': None}",2,0.7881597717546363,0.6254180602006689,0.5026881720430108,0.5573770491803278,0.6969751539826704,0.4202949799940414,0.786376604850214,0.6265486725663717,0.477088948787062,0.541698546289212,0.6873805558678279,0.4057405122050631
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': 'balanced'}",1,0.6718972895863052,0.4349112426035503,0.7903225806451613,0.5610687022900763,0.7097243971186972,0.332624136960445,0.6865192582025678,0.4483282674772036,0.7940780619111709,0.5730937348227294,0.7209109377969246,0.3544247300843928
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': 'balanced'}",2,0.6761768901569187,0.4382530120481928,0.782258064516129,0.5617760617760619,0.710061071093016,0.3359027435792566,0.7050641940085592,0.4663499604117181,0.793800539083558,0.5875311720698254,0.7334667098909545,0.3812496531231722
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'saga', 'max_iter': 100, 'class_weight': None}",1,0.7624821683309557,0.5585585585585585,0.5,0.527659574468085,0.678640776699029,0.3696604910768533,0.7521398002853067,0.536697247706422,0.4724091520861372,0.5025053686471008,0.6626965702206524,0.3383523282849133
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'saga', 'max_iter': 100, 'class_weight': None}",2,0.7667617689015692,0.5778546712802768,0.4489247311827957,0.5052950075642965,0.6652390646205241,0.355837944319705,0.7681883024251069,0.5855018587360595,0.4245283018867924,0.4921875000000001,0.6581904361034351,0.3469087635914355
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'saga', 'max_iter': 100, 'class_weight': 'balanced'}",1,0.6226818830242511,0.395750332005312,0.8010752688172043,0.5297777777777778,0.6796638480008351,0.2707523367334699,0.6326676176890157,0.4036265950302216,0.8088829071332436,0.5385304659498208,0.6890120503642929,0.2861567117512804
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'saga', 'max_iter': 100, 'class_weight': 'balanced'}",2,0.6241084165477889,0.3959731543624161,0.793010752688172,0.5282005371530886,0.6780587744023383,0.2697295983015635,0.6483594864479315,0.4149232914923291,0.8018867924528302,0.546875,0.6975001372545431,0.3041952480565998
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'saga', 'max_iter': 1000, 'class_weight': None}",1,0.7781740370898717,0.5927051671732523,0.5241935483870968,0.5563480741797431,0.697048230504228,0.4092050957554342,0.7646219686162625,0.562406015037594,0.5033647375504711,0.53125,0.681085571104202,0.374750408974533
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'saga', 'max_iter': 1000, 'class_weight': None}",2,0.7881597717546363,0.6279863481228669,0.4946236559139785,0.5533834586466165,0.694399206597766,0.417091068933754,0.7849500713266762,0.6265938069216758,0.4636118598382749,0.5329202168861348,0.6820969095505633,0.3972682629129404
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'saga', 'max_iter': 1000, 'class_weight': 'balanced'}",1,0.6704707560627675,0.4342105263157895,0.7983870967741935,0.5625,0.7113294707171939,0.3333539175970753,0.6793865905848787,0.4417040358744394,0.7954239569313594,0.5679961556943778,0.7164892710420988,0.3447126692551008
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'saga', 'max_iter': 1000, 'class_weight': 'balanced'}",2,0.6747503566333809,0.4375,0.7903225806451613,0.5632183908045977,0.7116661446915127,0.3366205951936247,0.6975748930099858,0.4588509316770186,0.7964959568733153,0.5822660098522167,0.7292373091835054,0.3710756235307062
LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",1,0.7831669044222539,0.5965909090909091,0.5645161290322581,0.580110497237569,0.7133260256811775,0.4341069626639757,0.7692582025677603,0.5689655172413793,0.5329744279946165,0.5503822098679638,0.6937070102127376,0.3954117372613057
LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",2,0.7788873038516405,0.595679012345679,0.5188172043010753,0.5545977011494252,0.6958163691408289,0.4084678034014939,0.7870898716119828,0.615262321144674,0.5215633423180593,0.5645514223194749,0.7021007788214932,0.4249139769579173
LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': 'balanced'}",1,0.6754636233951498,0.437593984962406,0.782258064516129,0.5612343297974928,0.7095756341998121,0.3348965816368023,0.6915121255349501,0.4528593508500773,0.7886944818304172,0.5753559155621011,0.722585959983622,0.359845061738822
LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': 'balanced'}",2,0.6790299572039943,0.4407294832826747,0.7795698924731183,0.5631067961165049,0.71114416953753,0.3390312077007211,0.7104136947218259,0.4719551282051282,0.793800539083558,0.5919597989949749,0.737103955283777,0.3892457150459987
LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': None}",1,0.7831669044222539,0.5965909090909091,0.5645161290322581,0.580110497237569,0.7133260256811775,0.4341069626639757,0.7692582025677603,0.5689655172413793,0.5329744279946165,0.5503822098679638,0.6937070102127376,0.3954117372613057
LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': None}",2,0.7796005706134094,0.5969230769230769,0.521505376344086,0.5566714490674318,0.6971604551623343,0.4109035428627375,0.7870898716119828,0.615262321144674,0.5215633423180593,0.5645514223194749,0.7021007788214932,0.4249139769579173
LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': 'balanced'}",1,0.6754636233951498,0.437593984962406,0.782258064516129,0.5612343297974928,0.7095756341998121,0.3348965816368023,0.6915121255349501,0.4528593508500773,0.7886944818304172,0.5753559155621011,0.722585959983622,0.359845061738822
LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'liblinear', 'max_iter': 1000, 'class_weight': 'balanced'}",2,0.6797432239657631,0.441400304414003,0.7795698924731183,0.5636540330417882,0.7116296064307339,0.3400450804633852,0.7104136947218259,0.4719551282051282,0.793800539083558,0.5919597989949749,0.737103955283777,0.3892457150459987
LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'saga', 'max_iter': 100, 'class_weight': None}",1,0.7617689015691869,0.553072625698324,0.532258064516129,0.5424657534246575,0.6884591293454432,0.3815043560495993,0.75,0.5299145299145299,0.5006729475100942,0.514878892733564,0.6702782495920194,0.3466732788053478
LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'saga', 'max_iter': 100, 'class_weight': None}",2,0.7646219686162625,0.5644171779141104,0.4946236559139785,0.5272206303724929,0.6783797891220378,0.3714302793824349,0.761055634807418,0.560200668896321,0.4514824797843665,0.5,0.6619682040046954,0.3453912432646393
LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'saga', 'max_iter': 100, 'class_weight': 'balanced'}",1,0.62339514978602,0.396551724137931,0.803763440860215,0.5310834813499111,0.6810079340223405,0.272601495957456,0.6362339514978602,0.4068594485541358,0.8142664872139973,0.5426008968609866,0.693159444480361,0.2926263554111828
LogisticRegression,"{'penalty': 'l1', 'C': 0.01, 'solver': 'saga', 'max_iter': 100, 'class_weight': 'balanced'}",2,0.6276747503566333,0.3991935483870967,0.7983870967741935,0.532258064516129,0.6822032571249608,0.2761874243395285,0.6522824536376605,0.4182456140350877,0.8032345013477089,0.5500692201199816,0.7005988219638641,0.3098944660296125
