fitModelAndGetResults noCrossVal LGBMClassifier {'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': -1, 'min_child_samples': 5, 'subsample': 0.5, 'colsample_bytree': 0.5, 'reg_alpha': 0.1} 1684806595.6663172 
fitModelAndGetResults noCrossVal LGBMClassifier {'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': -1, 'min_child_samples': 5, 'subsample': 0.5, 'colsample_bytree': 0.5, 'reg_alpha': 0.5} 1684806596.0107489 
fitModelAndGetResults noCrossVal LGBMClassifier {'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': -1, 'min_child_samples': 5, 'subsample': 0.5, 'colsample_bytree': 0.8, 'reg_alpha': 0.1} 1684806596.330233 
fitModelAndGetResults noCrossVal LGBMClassifier {'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': -1, 'min_child_samples': 5, 'subsample': 0.5, 'colsample_bytree': 0.8, 'reg_alpha': 0.5} 1684806596.653203 
fitModelAndGetResults noCrossVal LGBMClassifier {'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': -1, 'min_child_samples': 5, 'subsample': 0.8, 'colsample_bytree': 0.5, 'reg_alpha': 0.1} 1684806596.9861975 
fitModelAndGetResults noCrossVal LGBMClassifier {'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': -1, 'min_child_samples': 5, 'subsample': 0.8, 'colsample_bytree': 0.5, 'reg_alpha': 0.5} 1684806597.2981975 
fitModelAndGetResults noCrossVal LGBMClassifier {'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': -1, 'min_child_samples': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.1} 1684806597.5967517 
fitModelAndGetResults noCrossVal LGBMClassifier {'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': -1, 'min_child_samples': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.5} 1684806597.907751 
fitModelAndGetResults noCrossVal LGBMClassifier {'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': -1, 'min_child_samples': 10, 'subsample': 0.5, 'colsample_bytree': 0.5, 'reg_alpha': 0.1} 1684806598.2137518 
fitModelAndGetResults noCrossVal LGBMClassifier {'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': -1, 'min_child_samples': 10, 'subsample': 0.5, 'colsample_bytree': 0.5, 'reg_alpha': 0.5} 1684806598.512752 
fitModelAndGetResults noCrossVal LGBMClassifier {'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.01, 'n_estimators': 150, 'max_depth': -1, 'min_child_samples': 10, 'subsample': 0.5, 'colsample_bytree': 0.8, 'reg_alpha': 0.1} 1684806598.818757 
